s0,s1,s2,s3,s4,s5,s6,s7,s8,action,reward,ns0,ns1,ns2,ns3,ns4,ns5,ns6,ns7,ns8,done,ret
0.05,0.0,0.35,0.95,31.5,2.5,0.0794,5.25,0.0,2,0.2,0.05,0.0,0.35,0.95,31.5,2.5,0.0794,5.25,-0.0121,True,0.2
0.4348,0.6047,0.65,0.65,0.45,1.125,1.5,0.325,-0.0421,0,-0.0522,0.2609,0.6047,0.65,0.65,0.75,1.125,1.5,0.5417,0.0958,False,0.429
0.8919,0.8621,0.75,0.5,0.2273,3.0,0.7,0.0682,0.0,0,-0.0243,0.8108,0.8621,0.75,0.5,0.25,3.0,0.7,0.075,0.0645,False,-0.0436
0.3824,0.1818,0.55,0.95,1.3846,1.1,0.1389,0.3654,0.2745,1,-0.0456,0.1029,0.1818,0.55,0.95,5.1429,1.1,0.1389,1.3571,0.3057,False,-0.0177
0.0294,0.3846,0.5,0.9,64.0,1.2,0.0938,7.5,-0.1188,2,0.2,0.0294,0.3846,0.5,0.9,64.0,1.2,0.0938,7.5,-0.1538,True,0.2
0.5614,0.6667,0.65,0.75,0.2812,0.7778,1.6111,0.0781,0.0,0,0.6711,0.4737,0.6667,0.65,0.75,0.0,0.7778,1.0,0.0926,0.5254,True,0.6711
0.1282,0.2609,0.35,0.95,10.4,2.6667,0.1346,2.3,0.0,2,-1.0692,0.0,0.2609,0.35,0.95,1.0,2.6667,0.1346,1.0,-0.0655,True,-1.0692
0.6939,0.8846,0.75,0.7,0.2647,2.0,1.6111,0.1324,0.0,0,-0.0673,0.3673,0.8846,0.75,0.7,0.2222,2.0,3.625,0.25,0.2621,False,-0.0731
0.5366,0.2593,0.85,0.5,0.3636,0.8,1.6875,0.1591,1.0,0,0.0366,0.5366,0.2593,0.85,0.5,0.1364,0.8,4.5,0.1591,1.0,False,0.7039
0.1739,0.3,0.3,0.95,14.75,4.0,0.1017,3.125,0.0,2,-1.1696,0.0,0.3,0.3,0.95,1.0,4.0,0.1017,1.0,-0.1178,True,-1.1696
0.3953,0.8,0.6,0.75,0.4118,0.6667,1.5,0.3824,0.1496,0,0.0419,0.3953,0.8,0.6,0.75,0.0588,0.6667,10.5,0.3824,0.6029,False,0.0154
0.8696,0.6875,0.7,0.65,0.125,0.9,2.3,0.1125,0.0,0,0.0261,0.8696,0.6875,0.7,0.65,0.025,0.9,11.5,0.1125,0.3265,False,0.0261
0.025,0.3,0.35,0.95,53.0,1.5,0.1321,11.5,0.0,2,0.2,0.025,0.3,0.35,0.95,53.0,1.5,0.1321,11.5,0.0531,True,0.2
0.1471,0.2857,0.4,0.95,9.4,3.5,0.1489,2.1,0.0,2,-1.0794,0.0,0.2857,0.4,0.95,1.0,3.5,0.1489,1.0,-0.0185,True,-1.0794
0.587,0.7727,0.55,0.55,0.3704,0.9,1.35,0.2037,0.3186,0,0.6043,0.587,0.7727,0.55,0.55,0.0,0.9,1.0,0.2037,1.0,True,0.6043
