feature_size,params,final_val_loss,final_accuracy,probe_accuracy,confidence,entropy,separability,feature_utility,time_seconds
4,80,0.11586639512838591,1.0,0.5099999904632568,0.9997910261154175,0.0008618870633654296,0.40343955,0.08450323,118.00294280052185
8,188,0.11563165735445922,1.0,0.8159999847412109,0.9830237030982971,0.0389464907348156,1.2918462,0.10391201,63.63062071800232
16,500,0.11544578686786393,1.0,0.9826666712760925,0.9994945526123047,0.0015251005534082651,2.1143172,0.120312154,62.647144079208374
32,1508,0.11461047689890089,1.0,0.9726666808128357,0.970360279083252,0.07168977707624435,2.1529,0.061078824,63.56935095787048
64,5060,0.1146157000341938,1.0,0.9919999837875366,0.9999994039535522,5.2165805755066685e-06,2.0719707,0.029512173,108.28846454620361
