hidden_size,params,final_train_loss,final_val_loss,best_val_loss,mean_pred,std_pred,min_pred,max_pred,coverage_50pct,time_seconds
2,21,0.022587076656292688,0.02246046335946967,0.02246046335946967,-0.13191034,0.48386648,-0.8618243,0.84622276,0.594,20.412662267684937
4,41,0.017554515245614927,0.0174944806236093,0.017301853512560125,-0.15864103,0.49797028,-0.9209559,0.89953744,0.558,38.58303236961365
8,81,0.016397129820053268,0.016040282136812776,0.016040282136812776,-0.14621691,0.493288,-0.89255714,0.9027323,0.586,38.11812400817871
16,161,0.014025387252642683,0.01390590230210239,0.013892874006114131,-0.1427829,0.499798,-0.85844564,0.95808214,0.588,38.251320123672485
