s0,s1,s2,s3,s4,s5,s6,s7,s8,action,reward,ns0,ns1,ns2,ns3,ns4,ns5,ns6,ns7,ns8,done,ret
0.2444,0.84,0.3,0.75,2.5455,1.1667,0.2857,0.5,-0.816,0,-1.0733,0.0,0.84,0.3,0.75,1.0,1.1667,0.2857,1.0,-0.8167,True,-1.0733
0.0789,0.38,0.45,0.9,12.3333,1.0,0.2432,2.5,-0.7684,2,0.2,0.0789,0.38,0.45,0.9,12.3333,1.0,0.2432,2.5,-0.7723,True,0.2
0.6545,0.78,0.4,0.65,1.1111,1.3333,0.15,0.0972,0.0,2,-0.0327,0.5455,0.78,0.4,0.65,1.3333,1.3333,0.15,0.1167,-0.4705,False,0.0753
0.9104,0.36,0.55,0.7,0.0492,2.0,5.8333,0.0902,0.8348,0,-0.0313,0.806,0.36,0.55,0.7,0.0556,2.0,5.8333,0.1019,0.4025,False,0.4267
0.3824,0.5,0.2,0.7,2.0769,1.2857,0.3333,0.5,-0.728,1,0.0015,0.3235,0.5,0.2,0.7,2.4545,1.2857,0.3333,0.5909,-0.74,False,-1.0125
0.5862,0.62,0.7,0.65,0.6471,1.1667,1.2273,0.6176,0.0,1,-0.0121,0.4483,0.62,0.7,0.65,0.8462,1.1667,1.2273,0.8077,-0.4062,False,-0.0121
0.3729,0.6,0.35,0.65,1.6364,2.0,0.1944,0.1591,-0.3711,1,-0.0373,0.1864,0.6,0.35,0.65,3.2727,2.0,0.1944,0.3182,-0.4822,False,-0.0373
0.5806,0.34,0.7,0.55,0.6111,1.1667,1.5909,0.5278,-0.1616,1,0.029,0.5806,0.34,0.7,0.55,0.6111,1.1667,1.5909,0.5278,-0.1068,False,-0.017
0.9872,0.72,0.65,0.65,0.0779,1.125,2.75,0.0455,0.823,0,0.5269,0.9872,0.72,0.65,0.65,0.0,1.125,1.0,0.0455,0.8425,True,0.5269
0.9552,0.42,0.55,0.7,0.25,2.0,1.0938,0.0859,0.0,0,0.0448,0.9104,0.42,0.55,0.7,0.0492,2.0,5.8333,0.0902,0.8348,False,0.4502
0.6415,0.4,0.7,0.75,0.6176,0.8,0.4524,0.1912,-0.3548,0,0.2349,0.6415,0.4,0.7,0.75,0.1765,0.8,1.5833,0.1912,0.1513,False,0.6453
0.8333,0.68,0.4,0.55,0.7667,1.3333,0.4348,0.2167,0.0,0,0.0,0.8333,0.68,0.4,0.55,0.7667,1.3333,0.4348,0.2167,-0.4912,False,-0.0004
0.1702,0.64,0.65,0.95,6.5,0.7143,0.0962,1.1875,0.0,2,0.2,0.1702,0.64,0.65,0.95,6.5,0.7143,0.0962,1.1875,-0.5296,True,0.2
0.1176,0.0,0.5,0.85,1.3333,1.25,1.5625,1.0833,-0.2334,2,0.0,0.1176,0.0,0.5,0.85,1.3333,1.25,1.5625,1.0833,-0.2919,False,0.0
0.7308,0.24,0.65,0.7,0.0877,1.3,2.5,0.0789,0.2938,0,0.0,0.7308,0.24,0.65,0.7,0.0877,1.3,2.5,0.0789,0.0215,False,0.4677
0.0889,0.78,0.55,0.9,11.75,1.0,0.1064,2.625,0.0,2,-1.0867,0.0,0.78,0.55,0.9,1.0,1.0,0.1064,1.0,-0.8167,True,-1.0867
0.4815,0.92,0.5,0.65,1.0385,1.25,0.3889,0.25,-0.3567,1,0.0241,0.4815,0.92,0.5,0.65,1.0385,1.25,0.3889,0.25,-0.2817,False,0.0286
